modId	referenceIds	candidateIds	missing	extra	registryPct	status
additional_lights	182	182	0	0	100.0	OK
aiimprovements	0	0	0	0	0	NO_CONTENT
allthearcanistgear	0	0	0	0	0	DEPS_MISSING
allthecompressed	983	0	983	0	0.0	LOADED_NOTHING
alltheores	252	0	252	0	0.0	LOADED_NOTHING
appleskin	0	0	0	0	0	NO_CONTENT
appmek	0	0	0	0	0	DEPS_MISSING
aquaculture	150	0	150	0	0.0	LOADED_NOTHING
ars_creo	0	0	0	0	0	DEPS_MISSING
ars_ocultas	0	0	0	0	0	DEPS_MISSING
betteradvancements	0	0	0	0	0	NO_CONTENT
bhc	0	0	0	0	0	NO_CONTENT
blockui	0	0	0	0	0	NO_CONTENT
botanypots	0	0	0	0	0	DEPS_MISSING
