additional_lights	additional_lights-1.20.1-2.1.7.jar	additional_lights-neoforge-1.21-2.1.10.jar
aiimprovements	AI-Improvements-1.20-0.5.2.jar	AI-Improvements-1.21-0.5.3.jar
allthearcanistgear	allthearcanistgear-1.20.1-20.0.0.jar	allthearcanistgear-1.21.1-21.3.2.jar
allthecompressed	allthecompressed-1.20.1-3.0.2.jar	allthecompressed-1.21.1-4.4.0.jar
alltheores	alltheores-1.20.1-47.1.3-2.2.4.jar	alltheores-3.2.0_neoforge_1.21.1.jar
appleskin	appleskin-forge-mc1.20.1-2.5.1.jar	appleskin-neoforge-mc1.21-3.0.9.jar
appmek	Applied-Mekanistics-1.4.2.jar	Applied-Mekanistics-1.6.3.jar
aquaculture	Aquaculture-1.20.1-2.5.5.jar	Aquaculture-1.21.1-2.7.21.jar
ars_creo	ars_creo-1.20.1-4.3.0.jar	ars_creo-1.21.1-5.4.0.jar
ars_ocultas	ars_ocultas-1.20.1-1.2.2-all.jar	ars_ocultas-1.21.1-2.5.0.jar
betteradvancements	BetterAdvancements-Forge-1.20.1-0.4.2.25.jar	BetterAdvancements-NeoForge-1.21.1-0.4.3.21.jar
bhc	baubley-heart-canisters-1.20.1-1.1.1.jar	baubley-heart-canisters-1.21.1-1.4.1.jar
blockui	blockui-1.20.1-1.0.194.jar	blockui-1.0.211-1.21.1-snapshot.jar
botanypots	BotanyPots-Forge-1.20.1-13.0.41.jar	botanypots-neoforge-1.21.1-21.1.44.jar
