side	modId	displayName	version	loader	tier	classes	forgeRefs	neoRefs	mixinConfigs	mixinClasses	hasAT	hasCoremod	nestedJars	sizeKB	file
source	absentbydesign	Absent By Design Mod	1.9.0	FORGE	TRIVIAL	10	8	0	0	0	true	false	0	1643	absentbydesign-1.20.1-1.9.0.jar
source	ad_astra	Ad Astra	1.15.20	FORGE	NIGHTMARE	556	12	0	2	46	false	false	0	7332	ad_astra-forge-1.20.1-1.15.20.jar
source	ad_astra_giselle_addon	Ad Astra: Giselle Addon	6.20	FORGE	HARD	267	24	0	0	8	false	false	0	482	Ad-Astra-Giselle-Addon-forge-1.20.1-6.20.jar
source	additional_lights	Additional Lights	2.1.7	FORGE	TRIVIAL	33	4	0	0	0	false	false	0	517	additional_lights-1.20.1-2.1.7.jar
source	additionallanterns	Additional Lanterns	1.1.2	FORGE	TRIVIAL	16	2	0	0	0	true	false	0	3083	additionallanterns-1.1.2-forge-mc1.20.2.jar
source	addonslib	Addons Lib	1.20.1-1.5	FORGE	TRIVIAL	37	28	0	0	0	false	false	0	95	addonslib-1.20.1-1.5.jar
source	advanced_ae	Advanced AE	1.2.7-1.20.1	FORGE	HARD	308	70	0	2	13	true	false	0	2433	AdvancedAE-1.2.7-1.20.1.jar
source	advancedperipherals	Advanced Peripherals	0.7.46r	FORGE	MODERATE	248	128	0	0	0	true	false	0	869	AdvancedPeripherals-1.20.1-0.7.46r.jar
source	advgenerators	Advanced Generators	1.6.0.6	FORGE	MODERATE	251	100	0	0	0	false	false	0	893	advgenerators-1.6.0.6-mc1.20.1.jar
source	ae2	Applied Energistics 2	15.4.9	FORGE	HARD	1832	282	0	2	19	true	false	0	8226	appliedenergistics2-forge-15.4.9.jar
source	ae2additions	AE Additions	5.1.0	FORGE	HARD	185	44	0	1	1	true	false	0	754	AEAdditions-1.20.1-5.1.0.jar
source	ae2insertexportcard	AE2 Insert Export Card	1.20.1-1.3.0	FORGE	HARD	20	12	0	1	3	true	false	0	208	ae2insertexportcard-1.20.1-1.3.0.jar
source	ae2things	AE2 Things	1.2.1	FORGE	HARD	13	5	0	2	1	false	false	0	69	AE2-Things-1.2.1.jar
source	ae2wtlib	AE2WTLib	15.3.0-forge	FORGE	HARD	115	6	0	2	4	false	false	0	222	ae2wtlib-15.3.0-forge.jar
source	aeinfinitybooster	AEInfinityBooster	1.20.1-1.0.0+51	FORGE	HARD	12	8	0	1	5	false	false	0	25	AEInfinityBooster-1.20.1-1.0.0+51.jar
source	aether	The Aether	1.20.1-1.5.2-neoforge	FORGE	NIGHTMARE	977	454	0	1	67	true	false	4	38814	aether-1.20.1-1.5.2-neoforge.jar
source	aiimprovements	AI-Improvements	0.5.2	FORGE	TRIVIAL	20	8	0	0	0	true	false	0	28	AI-Improvements-1.20-0.5.2.jar
source	aiotbotania	AIOT Botania	1.20.1-4.0.6	FORGE	TRIVIAL	67	40	0	0	0	true	false	0	192	aiotbotania-1.20.1-4.0.6.jar
source	alchemistry	Alchemistry	2.3.4	FORGE	MODERATE	201	106	0	0	0	true	false	0	3568	alchemistry-1.20.1-2.3.4.jar
source	alchemylib	AlchemyLib	1.0.30	FORGE	TRIVIAL	69	26	0	0	0	true	false	0	98	alchemylib-1.20.1-1.0.30.jar
source	allthearcanistgear	All The Arcanist Gear	1.20.1-20.0.0	FORGE	TRIVIAL	28	18	0	1	0	false	false	0	109	allthearcanistgear-1.20.1-20.0.0.jar
source	allthecompressed	AllTheCompressed	3.0.2	FORGE	TRIVIAL	25	12	0	0	0	false	false	0	3270	allthecompressed-1.20.1-3.0.2.jar
source	alltheleaks	All The Leaks	1.0.7+1.20.1-forge	FORGE	NIGHTMARE	308	107	0	1	146	true	false	2	1145	alltheleaks-1.0.7+1.20.1-forge.jar
