modId	tier	sourceVersion	targetVersion	sourceClasses	targetClasses	sourceMixins	targetMixins	sourceFile	targetFile
additional_lights	TRIVIAL	2.1.7	2.1.10	33	33	0	0	additional_lights-1.20.1-2.1.7.jar	additional_lights-neoforge-1.21-2.1.10.jar
advanced_ae	HARD	1.2.7-1.20.1	1.6.11-1.21.1	308	291	2	1	AdvancedAE-1.2.7-1.20.1.jar	AdvancedAE-1.6.11-1.21.1.jar
advancedperipherals	MODERATE	0.7.46r	0.7.62b	248	257	0	0	AdvancedPeripherals-1.20.1-0.7.46r.jar	AdvancedPeripherals-1.21.1-0.7.62b.jar
ae2	HARD	15.4.9	19.2.17	1832	1824	2	1	appliedenergistics2-forge-15.4.9.jar	appliedenergistics2-19.2.17.jar
ae2wtlib	HARD	15.3.0-forge	19.5.1	115	85	2	1	ae2wtlib-15.3.0-forge.jar	ae2wtlib-19.5.1.jar
aeinfinitybooster	HARD	1.20.1-1.0.0+51	1.21.1-1.0.0.58	12	15	1	1	AEInfinityBooster-1.20.1-1.0.0+51.jar	aeinfinitybooster-neoforge-1.21.1-1.0.0.58.jar
aether	NIGHTMARE	1.20.1-1.5.2-neoforge	1.5.10	977	935	1	1	aether-1.20.1-1.5.2-neoforge.jar	aether-1.21.1-1.5.10-neoforge.jar
aiimprovements	TRIVIAL	0.5.2	0.5.3	20	20	0	0	AI-Improvements-1.20-0.5.2.jar	AI-Improvements-1.21-0.5.3.jar
allthearcanistgear	TRIVIAL	1.20.1-20.0.0	1.21.1-21.3.2	28	49	1	1	allthearcanistgear-1.20.1-20.0.0.jar	allthearcanistgear-1.21.1-21.3.2.jar
allthecompressed	TRIVIAL	3.0.2	4.4.0	25	27	0	0	allthecompressed-1.20.1-3.0.2.jar	allthecompressed-1.21.1-4.4.0.jar
alltheleaks	NIGHTMARE	1.0.7+1.20.1-forge	1.1.11+1.21.1-neoforge	308	302	1	1	alltheleaks-1.0.7+1.20.1-forge.jar	alltheleaks-1.1.11+1.21.1-neoforge.jar
allthemodium	HARD	2.5.6	3.0.1	176	166	1	1	allthemodium-1.20.1-47.1.25-2.5.6.jar	allthemodium-3.0.1_mc_1.21.1.jar
alltheores	TRIVIAL	2.2.4	3.2.0	39	67	0	0	alltheores-1.20.1-47.1.3-2.2.4.jar	alltheores-3.2.0_neoforge_1.21.1.jar
allthetweaks	HARD	2.3.2	2.9.4	80	93	1	1	allthetweaks-1.20.1-47.2.20-2.3.2.jar	allthetweaks-1.21.1-2.9.4.jar
allthewizardgear	HARD	1.20.1-1.1.4	1.21.1-1.1.12	18	17	1	1	allthewizardgear-1.20.1-1.1.4.jar	allthewizardgear-1.21.1-1.1.12.jar
almostunified	HARD	1.20.1-0.10.1	1.21.1-1.4.2	111	165	1	2	almostunified-forge-1.20.1-0.10.1.jar	almostunified-neoforge-1.21.1-1.4.2.jar
amendments	NIGHTMARE	1.20-2.2.3	1.21-2.1.7	250	257	2	2	amendments-1.20-2.2.3.jar	amendments-neoforge-1.21-2.1.7.jar
apotheosis	NIGHTMARE	7.4.8	8.6.1	522	537	1	1	Apotheosis-1.20.1-7.4.8.jar	Apotheosis-1.21.1-8.6.1.jar
appflux	HARD	1.20-1.3.4-forge	1.21-2.1.5-neoforge	82	73	2	1	AppliedFlux-1.20-1.3.4-forge.jar	AppliedFlux-1.21-2.1.5-neoforge.jar
appleskin	TRIVIAL	2.5.1+mc1.20.1	3.0.9+mc1.21	29	36	0	0	appleskin-forge-mc1.20.1-2.5.1.jar	appleskin-neoforge-mc1.21-3.0.9.jar
appmek	TRIVIAL	1.4.2	1.6.3	74	49	0	1	Applied-Mekanistics-1.4.2.jar	Applied-Mekanistics-1.6.3.jar
aquaculture	TRIVIAL	2.5.5	2.7.21	120	118	0	0	Aquaculture-1.20.1-2.5.5.jar	Aquaculture-1.21.1-2.7.21.jar
architectury	HARD	9.2.14	13.0.11	382	382	2	2	architectury-9.2.14-forge.jar	architectury-13.0.11-neoforge.jar
ars_creo	TRIVIAL	4.3.0	5.4.0	32	47	1	1	ars_creo-1.20.1-4.3.0.jar	ars_creo-1.21.1-5.4.0.jar
ars_elemental	HARD	0.6.7.8	0.7.10.1	273	353	1	1	ars_elemental-1.20.1-0.6.7.8.jar	ars_elemental-1.21.1-0.7.10.1.jar
ars_nouveau	NIGHTMARE	4.12.7	5.13.0	1465	5976	1	1	ars_nouveau-1.20.1-4.12.7-all.jar	ars_nouveau-1.21.1-5.13.0.jar
ars_ocultas	TRIVIAL	1.2.2	2.5.0	31	42	0	0	ars_ocultas-1.20.1-1.2.2-all.jar	ars_ocultas-1.21.1-2.5.0.jar
arseng	HARD	1.2.0	2.1.1-beta	55	40	1	1	arseng-1.2.0.jar	arseng-2.1.1-beta.jar
artifacts	HARD	9.5.16	13.2.1	177	278	2	2	artifacts-forge-9.5.16.jar	artifacts-neoforge-13.2.1.jar
athena	HARD	3.1.2	4.0.6	52	57	2	2	athena-forge-1.20.1-3.1.2.jar	athena-neoforge-1.21.1-4.0.6.jar
attributefix	HARD	21.0.4	21.1.3	9	5	1	2	AttributeFix-Forge-1.20.1-21.0.4.jar	attributefix-neoforge-1.21.1-21.1.3.jar
balm	HARD	7.3.37	21.0.64	399	578	1	2	balm-forge-1.20.1-7.3.37-all.jar	balm-neoforge-1.21.1-21.0.64.jar
