side	modId	displayName	tier	classes	file
source-only	absentbydesign	Absent By Design Mod	TRIVIAL	10	absentbydesign-1.20.1-1.9.0.jar
source-only	ad_astra	Ad Astra	NIGHTMARE	556	ad_astra-forge-1.20.1-1.15.20.jar
source-only	ad_astra_giselle_addon	Ad Astra: Giselle Addon	HARD	267	Ad-Astra-Giselle-Addon-forge-1.20.1-6.20.jar
source-only	additionallanterns	Additional Lanterns	TRIVIAL	16	additionallanterns-1.1.2-forge-mc1.20.2.jar
source-only	addonslib	Addons Lib	TRIVIAL	37	addonslib-1.20.1-1.5.jar
source-only	advgenerators	Advanced Generators	MODERATE	251	advgenerators-1.6.0.6-mc1.20.1.jar
source-only	ae2additions	AE Additions	HARD	185	AEAdditions-1.20.1-5.1.0.jar
source-only	ae2insertexportcard	AE2 Insert Export Card	HARD	20	ae2insertexportcard-1.20.1-1.3.0.jar
source-only	ae2things	AE2 Things	HARD	13	AE2-Things-1.2.1.jar
source-only	aiotbotania	AIOT Botania	TRIVIAL	67	aiotbotania-1.20.1-4.0.6.jar
source-only	alchemistry	Alchemistry	MODERATE	201	alchemistry-1.20.1-2.3.4.jar
source-only	alchemylib	AlchemyLib	TRIVIAL	69	alchemylib-1.20.1-1.0.30.jar
source-only	angelring	Angel Ring 2	TRIVIAL	35	angelring-1.20.1-2.3.1.jar
source-only	appbot	Applied Botanics	HARD	57	applied-botanics-forge-1.5.1.jar
source-only	attributeslib	Apothic Attributes	NIGHTMARE	112	ApothicAttributes-1.20.1-1.3.7.jar
source-only	bambooeverything	Bamboo Everything	TRIVIAL	14	BambooEverything-forge-3.0.3+mc1.20.1.jar
source-only	bdlib	BdLib	HARD	579	bdlib-1.27.0.8-mc1.20.1.jar
source-only	betterf3	BetterF3	HARD	52	BetterF3-7.0.2-Forge-1.20.1.jar
source-only	betterp2p	Better P2P	HARD	124	betterp2p-1.5.0-forge.jar
source-only	biomesoplenty	Biomes O' Plenty	HARD	325	BiomesOPlenty-forge-1.20.1-19.0.0.96.jar
source-only	bloodmagic	Blood Magic	MODERATE	829	bloodmagic-1.20.1-3.3.3-45.jar
source-only	blue_skies	Blue Skies	NIGHTMARE	1040	blue_skies-1.20.1-1.3.31.jar
source-only	botania	Botania	NIGHTMARE	1367	Botania-1.20.1-450-FORGE.jar
source-only	botarium	Botarium	TRIVIAL	90	botarium-forge-1.20.1-2.3.4.jar
source-only	caupona	Caupona	HARD	312	caupona-1.20.1-0.4.13.jar
source-only	cfm	MrCrayfish's Furniture Mod	HARD	148	cfm-forge-1.20.1-7.0.0-pre36.jar
source-only	charmofundying	Charm of Undying	HARD	23	charmofundying-forge-6.5.0+1.20.1.jar
source-only	chemlib	ChemLib	TRIVIAL	59	chemlib-1.20.1-2.0.19.jar
source-only	chimes	Chimes	TRIVIAL	39	Chimes-v2.0.1-1.20.1.jar
