#
# Hand-labelled ground truth for the zero-drift probe pair.
#
# Written by the person who wrote both sides of the port, so these are the *correct*
# migrations rather than statistically plausible ones. This is the regression target the
# corpus-mined rule set is scored against.
#
# gained = NONE       the symbol has no replacement; the capability was removed or absorbed
#                     into a different mechanism entirely
# gained = ARTIFACT   not a real migration. The symbol differs only because of how the port
#                     was written (a factory method instead of a constructor), not because
#                     anything changed in the API. Excluded from scoring.
#
# Where a single lost symbol legitimately has several valid targets, alternatives are
# separated by '|' and a prediction matching any of them counts as correct.
#
lost	gained
net/minecraftforge/common/MinecraftForge#EVENT_BUS:Lnet/minecraftforge/eventbus/api/IEventBus;	net/neoforged/neoforge/common/NeoForge#EVENT_BUS:Lnet/neoforged/bus/api/IEventBus;
net/minecraftforge/eventbus/api/IEventBus#addListener(Ljava/util/function/Consumer;)V	net/neoforged/bus/api/IEventBus#addListener(Ljava/util/function/Consumer;)V
net/minecraftforge/eventbus/api/IEventBus#register(Ljava/lang/Object;)V	net/neoforged/bus/api/IEventBus#register(Ljava/lang/Object;)V
net/minecraftforge/fml/ModList#get()Lnet/minecraftforge/fml/ModList;	net/neoforged/fml/ModList#get()Lnet/neoforged/fml/ModList;
net/minecraftforge/fml/ModList#isLoaded(Ljava/lang/String;)Z	net/neoforged/fml/ModList#isLoaded(Ljava/lang/String;)Z
net/minecraftforge/fml/config/ModConfig$Type#COMMON:Lnet/minecraftforge/fml/config/ModConfig$Type;	net/neoforged/fml/config/ModConfig$Type#COMMON:Lnet/neoforged/fml/config/ModConfig$Type;
net/minecraftforge/fml/ModLoadingContext#registerConfig(Lnet/minecraftforge/fml/config/ModConfig$Type;Lnet/minecraftforge/fml/config/IConfigSpec;)V	net/neoforged/fml/ModContainer#registerConfig(Lnet/neoforged/fml/config/ModConfig$Type;Lnet/neoforged/fml/config/IConfigSpec;)V
net/minecraftforge/common/ForgeConfigSpec$Builder#<init>()V	net/neoforged/neoforge/common/ModConfigSpec$Builder#<init>()V
net/minecraftforge/common/ForgeConfigSpec$Builder#comment(Ljava/lang/String;)Lnet/minecraftforge/common/ForgeConfigSpec$Builder;	net/neoforged/neoforge/common/ModConfigSpec$Builder#comment(Ljava/lang/String;)Lnet/neoforged/neoforge/common/ModConfigSpec$Builder;
net/minecraftforge/common/ForgeConfigSpec$Builder#define(Ljava/lang/String;Z)Lnet/minecraftforge/common/ForgeConfigSpec$BooleanValue;	net/neoforged/neoforge/common/ModConfigSpec$Builder#define(Ljava/lang/String;Z)Lnet/neoforged/neoforge/common/ModConfigSpec$BooleanValue;
net/minecraftforge/common/ForgeConfigSpec$Builder#build()Lnet/minecraftforge/common/ForgeConfigSpec;	net/neoforged/neoforge/common/ModConfigSpec$Builder#build()Lnet/neoforged/neoforge/common/ModConfigSpec;
net/minecraftforge/common/ForgeConfigSpec$BooleanValue#get()Ljava/lang/Object;	net/neoforged/neoforge/common/ModConfigSpec$BooleanValue#get()Ljava/lang/Object;
type net/minecraftforge/common/ForgeConfigSpec$Builder	type net/neoforged/neoforge/common/ModConfigSpec$Builder
net/minecraftforge/registries/RegistryObject#get()Ljava/lang/Object;	net/neoforged/neoforge/registries/DeferredBlock#get()Ljava/lang/Object;|net/neoforged/neoforge/registries/DeferredItem#get()Ljava/lang/Object;
