status	srcMods	tgtMods	key
kept	281	283	authors
kept	11	11	catalogueBackground
kept	14	14	catalogueImageIcon
kept	4	168	config
kept	124	114	credits
kept	288	287	description
kept	288	288	displayName
kept	12	17	displayTest
kept	170	183	displayURL
ADDED	0	13	enumExtensions
kept	1	58	file
kept	204	213	issueTrackerURL
kept	11	8	itemIcon
kept	288	288	license
kept	288	288	loaderVersion
kept	11	12	logoBlur
kept	185	186	logoFile
kept	268	28	mandatory
kept	288	288	modId
kept	288	288	modLoader
kept	7	10	modUrl
kept	261	259	ordering
kept	1	7	reason
kept	264	262	side
kept	1	247	type
kept	64	66	updateJSONURL
kept	288	288	version
kept	268	271	versionRange
