category	status	srcMods	tgtMods	keyPath
advancement	ADDED	0	55	display.icon.id
data_map	ADDED	0	36	values
dimension_type	REMOVED	5	0	monster_spawn_light_level.value
dimension_type	REMOVED	5	0	monster_spawn_light_level.value.max_inclusive
dimension_type	REMOVED	5	0	monster_spawn_light_level.value.min_inclusive
enchantment	ADDED	0	22	anvil_cost
enchantment	ADDED	0	22	description
enchantment	ADDED	0	22	description.translate
enchantment	ADDED	0	16	effects
enchantment	ADDED	0	7	effects.minecraft:post_attack
enchantment	ADDED	0	7	effects.minecraft:post_attack[].affected
enchantment	ADDED	0	7	effects.minecraft:post_attack[].effect
enchantment	ADDED	0	7	effects.minecraft:post_attack[].effect.type
enchantment	ADDED	0	7	effects.minecraft:post_attack[].enchanted
enchantment	ADDED	0	22	max_cost
enchantment	ADDED	0	22	max_cost.base
enchantment	ADDED	0	22	max_cost.per_level_above_first
enchantment	ADDED	0	22	max_level
enchantment	ADDED	0	22	min_cost
enchantment	ADDED	0	22	min_cost.base
enchantment	ADDED	0	22	min_cost.per_level_above_first
enchantment	ADDED	0	22	slots
enchantment	ADDED	0	22	supported_items
enchantment	ADDED	0	22	weight
jukebox_song	ADDED	0	8	comparator_output
jukebox_song	ADDED	0	8	description
jukebox_song	ADDED	0	8	description.translate
jukebox_song	ADDED	0	8	length_in_seconds
jukebox_song	ADDED	0	8	sound_event
loot_table	ADDED	0	40	pools[].entries[].functions[].include
neoforge	ADDED	0	35	biomes
neoforge	ADDED	0	30	features
neoforge	ADDED	0	29	step
neoforge	ADDED	0	42	type
recipe	REMOVED	47	7	conditions
recipe	REMOVED	47	7	conditions[].type
recipe	ADDED	0	64	neoforge:conditions
recipe	ADDED	0	51	neoforge:conditions[].modid
recipe	ADDED	0	64	neoforge:conditions[].type
recipe	ADDED	1	158	result.id
recipe	REMOVED	154	7	result.item
recipe	REMOVED	58	6	show_notification
sidebar_button	ADDED	0	6	click
sidebar_button	ADDED	0	6	icon
sidebar_button	ADDED	0	6	sort_index
tag/data_component_type	ADDED	0	5	values
