score	jaccard	support	nameMatch	descMatch	lostSymbol	gainedSymbol
2.340	0.900	45	true	true	net/minecraftforge/fluids/capability/IFluidHandler#fill(Lnet/minecraftforge/fluids/FluidStack;Lnet/minecraftforge/fluids/capability/IFluidHandler$FluidAction;)I	net/neoforged/neoforge/fluids/capability/IFluidHandler#fill(Lnet/neoforged/neoforge/fluids/FluidStack;Lnet/neoforged/neoforge/fluids/capability/IFluidHandler$FluidAction;)I
2.335	0.898	132	true	true	net/minecraftforge/common/ForgeConfigSpec$Builder#<init>()V	net/neoforged/neoforge/common/ModConfigSpec$Builder#<init>()V
2.335	0.898	44	true	true	net/minecraftforge/fluids/capability/IFluidHandler$FluidAction#SIMULATE:Lnet/minecraftforge/fluids/capability/IFluidHandler$FluidAction;	net/neoforged/neoforge/fluids/capability/IFluidHandler$FluidAction#SIMULATE:Lnet/neoforged/neoforge/fluids/capability/IFluidHandler$FluidAction;
2.329	0.896	43	true	true	net/minecraftforge/client/extensions/common/IClientFluidTypeExtensions#of(Lnet/minecraft/world/level/material/Fluid;)Lnet/minecraftforge/client/extensions/common/IClientFluidTypeExtensions;	net/neoforged/neoforge/client/extensions/common/IClientFluidTypeExtensions#of(Lnet/minecraft/world/level/material/Fluid;)Lnet/neoforged/neoforge/client/extensions/common/IClientFluidTypeExtensions;
2.326	0.895	68	true	true	net/minecraftforge/fluids/FluidStack#getFluid()Lnet/minecraft/world/level/material/Fluid;	net/neoforged/neoforge/fluids/FluidStack#getFluid()Lnet/minecraft/world/level/material/Fluid;
2.280	0.877	57	true	true	net/minecraftforge/client/event/RegisterKeyMappingsEvent#register(Lnet/minecraft/client/KeyMapping;)V	net/neoforged/neoforge/client/event/RegisterKeyMappingsEvent#register(Lnet/minecraft/client/KeyMapping;)V
2.275	0.875	42	true	true	net/minecraftforge/fluids/capability/IFluidHandler#getFluidInTank(I)Lnet/minecraftforge/fluids/FluidStack;	net/neoforged/neoforge/fluids/capability/IFluidHandler#getFluidInTank(I)Lnet/neoforged/neoforge/fluids/FluidStack;
2.267	0.872	68	true	true	net/minecraftforge/fluids/FluidStack#getAmount()I	net/neoforged/neoforge/fluids/FluidStack#getAmount()I
2.264	0.871	101	true	true	net/minecraftforge/fml/ModLoadingContext#registerConfig(Lnet/minecraftforge/fml/config/ModConfig$Type;Lnet/minecraftforge/fml/config/IConfigSpec;)V	net/neoforged/fml/ModContainer#registerConfig(Lnet/neoforged/fml/config/ModConfig$Type;Lnet/neoforged/fml/config/IConfigSpec;)V
2.250	0.865	45	true	true	net/minecraftforge/client/event/RenderLevelStageEvent#getStage()Lnet/minecraftforge/client/event/RenderLevelStageEvent$Stage;	net/neoforged/neoforge/client/event/RenderLevelStageEvent#getStage()Lnet/neoforged/neoforge/client/event/RenderLevelStageEvent$Stage;
2.247	0.864	51	true	true	net/minecraftforge/fluids/capability/IFluidHandler$FluidAction#EXECUTE:Lnet/minecraftforge/fluids/capability/IFluidHandler$FluidAction;	net/neoforged/neoforge/fluids/capability/IFluidHandler$FluidAction#EXECUTE:Lnet/neoforged/neoforge/fluids/capability/IFluidHandler$FluidAction;
2.237	0.860	37	true	true	net/minecraftforge/event/entity/player/PlayerInteractEvent$RightClickBlock#getLevel()Lnet/minecraft/world/level/Level;	net/neoforged/neoforge/event/entity/player/PlayerInteractEvent$RightClickBlock#getLevel()Lnet/minecraft/world/level/Level;
2.235	0.860	49	true	true	net/minecraftforge/items/IItemHandler#extractItem(IIZ)Lnet/minecraft/world/item/ItemStack;	net/neoforged/neoforge/items/IItemHandler#extractItem(IIZ)Lnet/minecraft/world/item/ItemStack;
2.229	0.857	42	true	true	net/minecraftforge/client/event/RenderLevelStageEvent#getPoseStack()Lcom/mojang/blaze3d/vertex/PoseStack;	net/neoforged/neoforge/client/event/RenderLevelStageEvent#getPoseStack()Lcom/mojang/blaze3d/vertex/PoseStack;
2.223	0.855	53	true	true	net/minecraftforge/client/model/data/ModelData#EMPTY:Lnet/minecraftforge/client/model/data/ModelData;	net/neoforged/neoforge/client/model/data/ModelData#EMPTY:Lnet/neoforged/neoforge/client/model/data/ModelData;
2.218	0.853	58	true	true	net/minecraftforge/fml/config/ModConfig$Type#SERVER:Lnet/minecraftforge/fml/config/ModConfig$Type;	net/neoforged/fml/config/ModConfig$Type#SERVER:Lnet/neoforged/fml/config/ModConfig$Type;
2.205	0.848	67	true	true	net/minecraftforge/items/IItemHandler#getSlots()I	net/neoforged/neoforge/items/IItemHandler#getSlots()I
2.200	0.846	66	true	true	net/minecraftforge/items/IItemHandler#getStackInSlot(I)Lnet/minecraft/world/item/ItemStack;	net/neoforged/neoforge/items/IItemHandler#getStackInSlot(I)Lnet/minecraft/world/item/ItemStack;
2.200	0.846	55	true	true	net/minecraftforge/common/extensions/IForgeMenuType#create(Lnet/minecraftforge/network/IContainerFactory;)Lnet/minecraft/world/inventory/MenuType;	net/neoforged/neoforge/common/extensions/IMenuTypeExtension#create(Lnet/neoforged/neoforge/network/IContainerFactory;)Lnet/minecraft/world/inventory/MenuType;
2.197	0.845	60	true	true	net/minecraftforge/event/RegisterCommandsEvent#getDispatcher()Lcom/mojang/brigadier/CommandDispatcher;	net/neoforged/neoforge/event/RegisterCommandsEvent#getDispatcher()Lcom/mojang/brigadier/CommandDispatcher;
2.191	0.843	75	true	true	net/minecraftforge/common/ForgeConfigSpec$IntValue#get()Ljava/lang/Object;	net/neoforged/neoforge/common/ModConfigSpec$IntValue#get()Ljava/lang/Object;
2.186	0.841	58	true	true	net/minecraftforge/fluids/FluidStack#isEmpty()Z	net/neoforged/neoforge/fluids/FluidStack#isEmpty()Z
2.185	0.840	79	true	true	net/minecraftforge/common/ForgeConfigSpec$ConfigValue#get()Ljava/lang/Object;	net/neoforged/neoforge/common/ModConfigSpec$ConfigValue#get()Ljava/lang/Object;
2.167	0.833	190	true	true	net/minecraftforge/eventbus/api/IEventBus#addListener(Ljava/util/function/Consumer;)V	net/neoforged/bus/api/IEventBus#addListener(Ljava/util/function/Consumer;)V
2.153	0.828	53	true	true	net/minecraftforge/fluids/FluidStack#<init>(Lnet/minecraft/world/level/material/Fluid;I)V	net/neoforged/neoforge/fluids/FluidStack#<init>(Lnet/minecraft/world/level/material/Fluid;I)V
2.144	0.825	47	true	true	net/minecraftforge/items/IItemHandler#insertItem(ILnet/minecraft/world/item/ItemStack;Z)Lnet/minecraft/world/item/ItemStack;	net/neoforged/neoforge/items/IItemHandler#insertItem(ILnet/minecraft/world/item/ItemStack;Z)Lnet/minecraft/world/item/ItemStack;
2.132	0.820	41	true	true	net/minecraftforge/event/entity/player/PlayerInteractEvent$RightClickBlock#getEntity()Lnet/minecraft/world/entity/player/Player;	net/neoforged/neoforge/event/entity/player/PlayerInteractEvent$RightClickBlock#getEntity()Lnet/minecraft/world/entity/player/Player;
2.127	0.818	45	true	true	net/minecraftforge/data/event/GatherDataEvent#includeClient()Z	net/neoforged/neoforge/data/event/GatherDataEvent#includeClient()Z
2.127	0.818	36	true	true	net/minecraftforge/fluids/FluidStack#copy()Lnet/minecraftforge/fluids/FluidStack;	net/neoforged/neoforge/fluids/FluidStack#copy()Lnet/neoforged/neoforge/fluids/FluidStack;
2.127	0.818	36	true	true	net/minecraftforge/client/model/generators/BlockStateProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/lang/String;Lnet/minecraftforge/common/data/ExistingFileHelper;)V	net/neoforged/neoforge/client/model/generators/BlockStateProvider#<init>(Lnet/minecraft/data/PackOutput;Ljava/lang/String;Lnet/neoforged/neoforge/common/data/ExistingFileHelper;)V
2.097	0.806	75	true	true	net/minecraftforge/common/ForgeConfigSpec$BooleanValue#get()Ljava/lang/Object;	net/neoforged/neoforge/common/ModConfigSpec$BooleanValue#get()Ljava/lang/Object;
2.069	0.796	39	true	true	net/minecraftforge/common/ForgeConfigSpec$DoubleValue#get()Ljava/lang/Object;	net/neoforged/neoforge/common/ModConfigSpec$DoubleValue#get()Ljava/lang/Object;
2.060	0.792	42	true	true	net/minecraftforge/common/Tags$Items#INGOTS_IRON:Lnet/minecraft/tags/TagKey;	net/neoforged/neoforge/common/Tags$Items#INGOTS_IRON:Lnet/minecraft/tags/TagKey;
2.056	0.791	68	true	true	net/minecraftforge/fml/config/ModConfig$Type#CLIENT:Lnet/minecraftforge/fml/config/ModConfig$Type;	net/neoforged/fml/config/ModConfig$Type#CLIENT:Lnet/neoforged/fml/config/ModConfig$Type;
